comment,rating,Вопрос решен,Нравится качество выполнения заявки,Нравится качество работы сотрудников,Нравится скорость отработки заявок,Понравилось выполнение заявки,Проблемы,speed,quality,staff,execution,solved
спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
отлично,5,1.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False
благодарю за оперативное решение проблемы !,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,False,False
прекрасный специалист! побольше таких,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,True,False,False
спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
"пересчет, и скорость",1,0.0,0.0,0.0,0.0,0.0,1.0,False,False,False,False,False
спасибо за обновление покраски стен,5,1.0,1.0,1.0,0.0,1.0,0.0,False,False,True,False,False
выполнили быстро,5,1.0,0.0,0.0,1.0,0.0,0.0,True,False,False,True,False
спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
спасибо управляющей компании за то что прислали грамотного специалиста и быстро отреагировали на заявку,5,1.0,1.0,0.0,0.0,1.0,0.0,True,False,True,False,False
спасибо,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
решили мой вопрос. спасибо!,5,1.0,0.0,0.0,0.0,1.0,0.0,False,False,True,False,True
очень радует работа ук. оперативно! спасибо!,5,1.0,1.0,1.0,1.0,1.0,0.0,True,False,True,False,False
все исправили,5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,True,False
спасибо за оперативную работу,5,1.0,0.0,0.0,1.0,0.0,0.0,False,False,True,False,False
"выполнили отлично , обработка заявки была слишком дорогой",5,1.0,0.0,1.0,0.0,0.0,0.0,False,False,False,False,False
спасибо большое! теперь не скрипят,5,1.0,0.0,1.0,0.0,1.0,0.0,False,False,True,False,False
спасибо!,5,1.0,0.0,0.0,0.0,0.0,0.0,False,False,True,False,False
